Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
Epinion,VAECF,005%,020%,N,-,-,0.04466,0.07693,0.04295,0.04132,0.07836,0.03936,0.05994,0.03151,0.06144,4.38111,4.56419,4.37145,28.74,16.6,28.2,24699.0,2071.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0030000,-,0.04813,0.04005,0.04856,0.04397,0.03507,0.04444,0.06645,0.01315,0.06926,4.40297,4.56751,4.39429,29.22,16.7,28.69,24630.0,2140.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0005000,-,0.04612,0.06837,0.04495,0.04266,0.0694,0.04125,0.06287,0.02718,0.06476,4.3849,4.55486,4.37592,28.79,16.65,28.2,24691.0,2079.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0001000,-,0.04486,0.07487,0.04327,0.04147,0.07612,0.03964,0.06019,0.03013,0.06177,4.38244,4.55942,4.37309,28.79,16.46,28.25,24694.0,2076.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0000500,-,0.04489,0.07675,0.04321,0.04154,0.07836,0.0396,0.06024,0.03151,0.06175,4.382,4.56113,4.37254,28.79,16.46,28.25,24701.0,2069.0,26770==26770.0
Epinion,VAECF,005%,020%,C,0.0000050,-,0.04469,0.0768,0.04299,0.04135,0.07836,0.0394,0.05997,0.03151,0.06147,4.38098,4.56187,4.37143,28.74,16.6,28.2,24700.0,2070.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0030000,0.04001,0.07315,0.03826,0.03638,0.07313,0.03444,0.05278,0.03014,0.05398,4.80292,4.99973,4.79252,31.7,19.71,31.21,17075.0,9695.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0005000,0.04326,0.07312,0.04168,0.03982,0.07463,0.03798,0.05792,0.02977,0.05941,4.52236,4.70506,4.51272,30.24,17.96,29.71,21872.0,4898.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0001000,0.04482,0.07712,0.04312,0.04139,0.07836,0.03944,0.06037,0.03151,0.0619,4.40435,4.58385,4.39487,29.22,16.8,28.74,24133.0,2637.0,26770==26770.0
Epinion,VAECF,005%,020%,P,-,0.0000500,0.04479,0.07699,0.04309,0.0415,0.07836,0.03956,0.06065,0.03151,0.06219,4.39159,4.57563,4.38187,28.93,16.7,28.45,24462.0,2308.0,26770==26770.0
