Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
BookCrossing,PF,N,0.0108,0.0219,0.0102,0.3639,5.8712,0.894,0.5157,0.4843,0.0313,0.1976,18.2638,0.0
BookCrossing,PF,C,0.0111,0.0193,0.0106,0.2892,5.8762,0.897,0.5128,0.4872,0.0255,0.1574,14.2026,20.37
BookCrossing,PF,P,0.011,0.0202,0.0105,0.3164,6.0436,0.9107,0.3911,0.6089,-0.2178,0.0493,4.4789,75.05
BookCrossing,PF,CP,0.0114,0.0169,0.0111,0.2092,6.0533,0.9146,0.3857,0.6143,-0.2287,-0.0098,-0.8595,104.95
BookCrossing,WMF,N,0.0062,0.0156,0.0056,0.4706,6.6007,0.9715,0.1732,0.8268,-0.6535,-0.0915,-14.8748,-0.0
BookCrossing,WMF,C,0.0066,0.0155,0.0061,0.4348,6.6136,0.9627,0.1669,0.8331,-0.6662,-0.1157,-17.5565,-26.47
BookCrossing,WMF,P,0.0062,0.0141,0.0058,0.4189,6.7051,0.9676,0.1023,0.8977,-0.7954,-0.1882,-30.3132,-105.78
BookCrossing,WMF,CP,0.0066,0.0141,0.0062,0.3861,6.7157,0.9539,0.0971,0.9029,-0.8058,-0.2098,-31.555,-129.38
BookCrossing,NeuMF,N,0.015,0.041,0.0136,0.5021,4.5054,0.0363,1.0,0.0,1.0,0.7511,50.0036,0.0
BookCrossing,NeuMF,C,0.0151,0.04,0.0137,0.4893,4.51,0.0402,1.0,0.0,1.0,0.7446,49.3794,0.85
BookCrossing,NeuMF,P,0.015,0.041,0.0136,0.5021,4.5054,0.0363,1.0,0.0,1.0,0.7511,50.0036,0.0
BookCrossing,NeuMF,CP,0.0151,0.04,0.0137,0.4893,4.51,0.0402,1.0,0.0,1.0,0.7446,49.3794,0.85
BookCrossing,VAECF,N,0.0211,0.0482,0.0196,0.421,5.1439,0.4004,0.8175,0.1825,0.635,0.528,24.9779,0.0
BookCrossing,VAECF,C,0.0204,0.01,0.021,0.3559,5.1441,0.4092,0.8209,0.1791,0.6417,0.4988,24.3918,5.53
BookCrossing,VAECF,P,0.0189,0.0447,0.0174,0.4386,5.5128,0.4524,0.4993,0.5007,-0.0014,0.2186,11.5842,58.6
BookCrossing,VAECF,CP,0.0192,0.0199,0.0191,0.0205,5.5169,0.4504,0.4993,0.5007,-0.0014,0.0095,0.4985,98.19
