Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
AmazonToy,PF,N,0.0088,0.0312,0.0075,0.6124,6.8764,0.7571,0.5272,0.4728,0.0545,0.3334,37.9345,0.0
AmazonToy,PF,C,0.0075,0.0318,0.0061,0.6774,6.8574,0.764,0.5399,0.4601,0.0797,0.3786,50.3408,-13.53
AmazonToy,PF,P,0.0084,0.03,0.0071,0.6178,7.2089,0.7715,0.2036,0.7964,-0.5928,0.0125,1.4925,96.26
AmazonToy,PF,CP,0.0076,0.0306,0.0062,0.6622,7.2065,0.7744,0.2043,0.7957,-0.5914,0.0354,4.6885,89.38
AmazonToy,WMF,N,0.0082,0.0182,0.0076,0.4109,6.9555,0.8961,0.5433,0.4567,0.0866,0.2488,30.3376,0.0
AmazonToy,WMF,C,0.008,0.0182,0.0074,0.4247,6.9578,0.8984,0.5424,0.4576,0.0849,0.2548,31.9669,-2.42
AmazonToy,WMF,P,0.0076,0.0188,0.007,0.4598,7.0356,0.9094,0.4593,0.5407,-0.0815,0.1891,24.8882,23.97
AmazonToy,WMF,CP,0.0074,0.0188,0.0068,0.4706,7.0358,0.9111,0.4592,0.5408,-0.0816,0.1945,26.2175,21.8
AmazonToy,NeuMF,N,0.0063,0.0143,0.0058,0.4201,5.729,0.0479,1.0,0.0,1.0,0.71,112.5245,0.0
AmazonToy,NeuMF,C,0.0064,0.0155,0.0058,0.4527,5.73,0.0473,1.0,0.0,1.0,0.7263,114.0244,-2.3
AmazonToy,NeuMF,P,0.0063,0.0143,0.0058,0.4201,5.729,0.0479,1.0,0.0,1.0,0.71,112.5245,0.0
AmazonToy,NeuMF,CP,0.0064,0.0155,0.0058,0.4527,5.73,0.0473,1.0,0.0,1.0,0.7263,114.0244,-2.3
AmazonToy,VAECF,N,0.0126,0.0414,0.011,0.5811,6.4859,0.363,0.735,0.265,0.47,0.5256,41.6139,0.0
AmazonToy,VAECF,C,0.0094,0.0563,0.0067,0.7874,6.4848,0.3647,0.7393,0.2607,0.4786,0.633,67.1255,-20.44
AmazonToy,VAECF,P,0.011,0.031,0.0098,0.5179,6.7325,0.3756,0.4031,0.5969,-0.1938,0.162,14.7158,69.17
AmazonToy,VAECF,CP,0.0095,0.0415,0.0076,0.6901,6.7322,0.3797,0.4031,0.5969,-0.1938,0.2482,26.2049,52.78
