Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Epinion,PF,N,0.0326,0.076,0.0304,0.429,4.9602,0.5073,0.8281,0.1719,0.6563,0.5426,16.6196,0.0
Epinion,PF,C,0.0316,0.0776,0.0292,0.4535,4.9373,0.5034,0.8326,0.1674,0.6653,0.5594,17.7018,-3.09
Epinion,PF,P,0.031,0.0765,0.0286,0.4557,5.3172,0.5325,0.6153,0.3847,0.2306,0.3432,11.0658,36.76
Epinion,PF,CP,0.0305,0.079,0.0279,0.4777,5.308,0.5345,0.6183,0.3817,0.2367,0.3572,11.712,34.17
Epinion,WMF,N,0.0238,0.0578,0.022,0.449,4.9485,0.2913,0.9423,0.0577,0.8846,0.6668,28.0395,0.0
Epinion,WMF,C,0.0237,0.0583,0.0219,0.4536,4.9478,0.2917,0.9422,0.0578,0.8845,0.669,28.1817,-0.34
Epinion,WMF,P,0.0236,0.0578,0.0218,0.4517,4.9628,0.3019,0.9322,0.0678,0.8643,0.658,27.8468,1.31
Epinion,WMF,CP,0.0236,0.0583,0.0218,0.4563,4.9622,0.3019,0.932,0.068,0.864,0.6602,27.9729,0.99
Epinion,NeuMF,N,0.0441,0.0735,0.0425,0.2669,3.8964,0.1214,0.9892,0.0108,0.9784,0.6227,14.1257,0.0
Epinion,NeuMF,C,0.0436,0.0764,0.0419,0.2916,3.8935,0.1209,0.9892,0.0108,0.9785,0.635,14.5646,-1.98
Epinion,NeuMF,P,0.044,0.0742,0.0424,0.2727,3.9066,0.1238,0.9798,0.0202,0.9595,0.6161,13.9989,1.05
Epinion,NeuMF,CP,0.0434,0.0747,0.0418,0.2831,3.9038,0.1238,0.9801,0.0199,0.9602,0.6216,14.3199,0.17
Epinion,VAECF,N,0.046,0.0794,0.0443,0.2838,4.4059,0.3107,0.919,0.081,0.838,0.5609,12.1836,0.0
Epinion,VAECF,C,0.0283,0.1481,0.0219,0.7421,4.4697,0.333,0.9081,0.0919,0.8163,0.7792,27.5719,-38.91
Epinion,VAECF,P,0.0386,0.0808,0.0364,0.3794,4.9245,0.3553,0.5806,0.4194,0.1612,0.2703,7.002,51.82
Epinion,VAECF,CP,0.0244,0.1189,0.0195,0.7185,4.9458,0.3699,0.5806,0.4194,0.1612,0.4398,17.9896,21.59
