Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Foursquare,PF,N,0.023,0.012,0.0236,0.3266,5.1479,0.5688,0.8017,0.1983,0.6033,0.465,20.1803,0.0
Foursquare,PF,C,0.0187,0.0135,0.0189,0.1691,5.0048,0.5654,0.8146,0.1854,0.6292,0.3992,21.3919,14.15
Foursquare,PF,P,0.0192,0.0128,0.0196,0.2072,5.8815,0.6386,0.3959,0.6041,-0.2083,-0.0006,-0.0293,100.12
Foursquare,PF,CP,0.0171,0.0132,0.0173,0.1368,5.8282,0.6386,0.3982,0.6018,-0.2037,-0.0335,-1.9548,107.2
Foursquare,WMF,N,0.0174,0.0254,0.017,0.1992,5.6952,0.7118,0.6203,0.3797,0.2406,0.2199,12.6427,0.0
Foursquare,WMF,C,0.0173,0.0278,0.0167,0.2503,5.6903,0.7132,0.6205,0.3795,0.2411,0.2457,14.2338,-11.74
Foursquare,WMF,P,0.0169,0.022,0.0167,0.1395,5.8291,0.7344,0.5376,0.4624,0.0753,0.1074,6.3472,51.15
Foursquare,WMF,CP,0.0168,0.0248,0.0163,0.2058,5.827,0.7337,0.5374,0.4626,0.0749,0.1404,8.3693,36.16
Foursquare,NeuMF,N,0.0328,0.0487,0.032,0.2075,3.7138,0.0527,0.9995,0.0005,0.999,0.6033,18.3808,0.0
Foursquare,NeuMF,C,0.0314,0.0498,0.0304,0.2422,3.6944,0.0527,0.9995,0.0005,0.999,0.6206,19.7893,-2.87
Foursquare,NeuMF,P,0.0328,0.0488,0.032,0.2081,3.714,0.0534,0.9994,0.0006,0.9989,0.6035,18.3878,-0.04
Foursquare,NeuMF,CP,0.0314,0.0499,0.0304,0.2428,3.6947,0.0534,0.9994,0.0006,0.9987,0.6207,19.7943,-2.9
Foursquare,VAECF,N,0.0416,0.0418,0.0416,0.0013,4.3893,0.2601,0.8882,0.1118,0.7764,0.3889,9.3386,0.0
Foursquare,VAECF,C,0.0199,0.0529,0.0181,0.4896,4.3058,0.2806,0.8848,0.1152,0.7695,0.6296,31.6358,-61.9
Foursquare,VAECF,P,0.0371,0.0335,0.0373,0.0534,4.7957,0.269,0.6225,0.3775,0.245,0.1492,4.0243,61.63
Foursquare,VAECF,CP,0.0186,0.0378,0.0176,0.3645,4.7354,0.2834,0.6225,0.3775,0.245,0.3048,16.3584,21.63
