Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
LastFM,PF,N,0.0377,0.025,0.0384,0.2104,5.0905,0.6682,0.6945,0.3055,0.389,0.2997,7.9529,0.0
LastFM,PF,C,0.0376,0.025,0.0382,0.2089,5.0895,0.6682,0.6945,0.3055,0.3891,0.299,7.9578,0.23
LastFM,PF,P,0.0375,0.0242,0.0382,0.2239,5.1208,0.6729,0.6792,0.3208,0.3585,0.2912,7.7729,2.83
LastFM,PF,CP,0.0372,0.0241,0.0379,0.2221,5.1207,0.6729,0.6789,0.3211,0.3577,0.2899,7.7891,3.26
LastFM,WMF,N,0.0322,0.0495,0.0313,0.2245,5.5358,0.7804,0.4452,0.5548,-0.1096,0.0574,1.7816,0.0
LastFM,WMF,C,0.0319,0.0502,0.0309,0.2379,5.5319,0.7797,0.4467,0.5533,-0.1066,0.0656,2.0577,-14.24
LastFM,WMF,P,0.0293,0.0454,0.0285,0.2284,5.7961,0.793,0.3313,0.6687,-0.3375,-0.0545,-1.8588,194.95
LastFM,WMF,CP,0.029,0.046,0.0281,0.2418,5.7937,0.7983,0.3319,0.6681,-0.3361,-0.0472,-1.6254,182.09
LastFM,NeuMF,N,0.0419,0.0536,0.0413,0.13,3.8526,0.1022,0.9879,0.0121,0.9758,0.5529,13.1967,0.0
LastFM,NeuMF,C,0.0414,0.0536,0.0407,0.1363,3.853,0.1029,0.9879,0.0121,0.9758,0.5561,13.4409,-0.56
LastFM,NeuMF,P,0.0416,0.0543,0.041,0.1396,3.8659,0.1015,0.9694,0.0306,0.9389,0.5393,12.9474,2.47
LastFM,NeuMF,CP,0.0412,0.0542,0.0405,0.145,3.866,0.1015,0.9697,0.0303,0.9395,0.5422,13.1608,1.94
LastFM,VAECF,N,0.0574,0.0665,0.0569,0.0776,4.6037,0.4293,0.7731,0.2269,0.5462,0.3119,5.4358,0.0
LastFM,VAECF,C,0.0123,0.1071,0.0073,0.8726,4.2167,0.4346,0.821,0.179,0.6421,0.7573,61.5709,-142.8
LastFM,VAECF,P,0.0511,0.0542,0.0509,0.0314,5.1911,0.4585,0.3595,0.6405,-0.281,-0.1248,-2.444,140.02
LastFM,VAECF,CP,0.0247,0.0865,0.0215,0.6026,4.9486,0.4559,0.3595,0.6405,-0.281,0.1608,6.5016,48.45
