Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
AmazonOffice,PF,N,0.0114,0.0505,0.0091,0.6949,5.5598,0.2577,0.8636,0.1364,0.7271,0.711,62.5898,0.0
AmazonOffice,PF,C,0.0114,0.0505,0.0092,0.6932,5.5604,0.2652,0.8635,0.1365,0.727,0.7101,62.1827,0.13
AmazonOffice,PF,P,0.0101,0.0458,0.008,0.702,6.5357,0.3467,0.2585,0.7415,-0.4831,0.1095,10.8484,84.61
AmazonOffice,PF,CP,0.0103,0.0458,0.0082,0.6963,6.5375,0.3517,0.2581,0.7419,-0.4837,0.1063,10.36,85.05
AmazonOffice,WMF,N,0.0065,0.0235,0.0055,0.6218,6.5745,0.8652,0.6506,0.3494,0.3011,0.4615,71.4388,0.0
AmazonOffice,WMF,C,0.0067,0.0235,0.0057,0.6074,6.5758,0.8589,0.6517,0.3483,0.3033,0.4554,67.8651,1.33
AmazonOffice,WMF,P,0.0058,0.0226,0.0048,0.6486,6.9473,0.8589,0.2487,0.7513,-0.5027,0.073,12.6038,84.19
AmazonOffice,WMF,CP,0.0063,0.0226,0.0054,0.6139,6.9495,0.847,0.2487,0.7513,-0.5027,0.0556,8.7678,87.95
AmazonOffice,NeuMF,N,0.015,0.0502,0.013,0.5892,4.373,0.0107,1.0,0.0,1.0,0.7946,52.8668,0.0
AmazonOffice,NeuMF,C,0.0153,0.0502,0.0132,0.5827,4.3737,0.0113,1.0,0.0,1.0,0.7913,51.8226,0.41
AmazonOffice,NeuMF,P,0.015,0.0502,0.013,0.5892,4.373,0.0107,1.0,0.0,1.0,0.7946,52.8668,0.0
AmazonOffice,NeuMF,CP,0.0153,0.0502,0.0132,0.5827,4.3737,0.0113,1.0,0.0,1.0,0.7913,51.8226,0.41
AmazonOffice,BiVAECF,N,0.0155,0.0448,0.0138,0.5287,4.4934,0.0226,0.9793,0.0207,0.9587,0.7437,47.95,0.0
AmazonOffice,BiVAECF,C,0.0169,0.0443,0.0153,0.4876,4.5073,0.0276,0.9794,0.0206,0.9588,0.7232,42.8692,2.76
AmazonOffice,BiVAECF,P,0.0159,0.0448,0.0142,0.5174,4.6276,0.0238,0.8948,0.1052,0.7896,0.6535,41.0227,12.13
AmazonOffice,BiVAECF,CP,0.0172,0.0443,0.0157,0.4779,4.6426,0.027,0.8948,0.1052,0.7896,0.6338,36.7615,14.78
