Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Gowalla,PF,N,0.0717,0.0735,0.0716,0.0129,3.5556,0.2473,0.882,0.118,0.7641,0.3885,5.4151,0.0
Gowalla,PF,C,0.0736,0.0735,0.0736,0.0003,3.5637,0.2548,0.8819,0.1181,0.7637,0.382,5.1934,1.66
Gowalla,PF,P,0.0595,0.0723,0.0588,0.1028,4.2975,0.3625,0.3708,0.6292,-0.2584,-0.0778,-1.3086,120.03
Gowalla,PF,CP,0.0618,0.0723,0.0613,0.0823,4.3086,0.3751,0.3681,0.6319,-0.2639,-0.0908,-1.4687,123.37
Gowalla,WMF,N,0.0326,0.0498,0.0317,0.2226,4.4986,0.4062,0.5805,0.4195,0.1611,0.1918,5.8903,0.0
Gowalla,WMF,C,0.0345,0.0498,0.0337,0.1928,4.5405,0.3919,0.5689,0.4311,0.1379,0.1653,4.7906,13.83
Gowalla,WMF,P,0.0224,0.0389,0.0215,0.2881,5.3445,0.3322,0.0032,0.9968,-0.9936,-0.3528,-15.77,283.88
Gowalla,WMF,CP,0.0232,0.0389,0.0224,0.2692,5.3476,0.3196,0.0032,0.9968,-0.9936,-0.3622,-15.6066,288.81
Gowalla,NeuMF,N,0.0929,0.1509,0.0898,0.2536,2.6168,0.0488,0.9908,0.0092,0.9816,0.6176,6.6496,0.0
Gowalla,NeuMF,C,0.0982,0.1509,0.0955,0.225,2.6166,0.0521,0.9896,0.0104,0.9793,0.6021,6.1306,2.51
Gowalla,NeuMF,P,0.08,0.1471,0.0766,0.3156,3.1138,0.0858,0.6293,0.3707,0.2586,0.2871,3.5862,53.52
Gowalla,NeuMF,CP,0.0876,0.1461,0.0846,0.2668,3.1198,0.0883,0.6293,0.3707,0.2586,0.2627,2.9986,57.46
Gowalla,BiVAECF,N,0.0905,0.1469,0.0876,0.253,2.776,0.0774,0.9434,0.0566,0.8867,0.5699,6.297,0.0
Gowalla,BiVAECF,C,0.0965,0.1459,0.0939,0.2166,2.788,0.0908,0.9459,0.0541,0.8919,0.5542,5.7431,2.75
Gowalla,BiVAECF,P,0.08,0.1183,0.078,0.2052,3.3458,0.1245,0.5344,0.4656,0.0688,0.137,1.7133,75.95
Gowalla,BiVAECF,CP,0.0889,0.1172,0.0874,0.1459,3.3594,0.1396,0.5344,0.4656,0.0688,0.1074,1.2085,81.16
