Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
MovieLens100K,PF,N,0.126,0.1432,0.1251,0.0676,2.1942,0.2202,0.9545,0.0455,0.909,0.4883,3.8765,0.0
MovieLens100K,PF,C,0.1284,0.1432,0.1276,0.0576,2.1962,0.2187,0.9546,0.0454,0.9092,0.4834,3.7655,1.0
MovieLens100K,PF,P,0.1184,0.142,0.1172,0.0958,2.4627,0.2965,0.7832,0.2168,0.5665,0.3311,2.7967,32.19
MovieLens100K,PF,CP,0.1205,0.142,0.1194,0.0866,2.4684,0.298,0.781,0.219,0.562,0.3243,2.6919,33.59
MovieLens100K,WMF,N,0.0712,0.1029,0.0696,0.1933,2.4536,0.0393,0.9992,0.0008,0.9983,0.5958,8.3636,0.0
MovieLens100K,WMF,C,0.0764,0.1017,0.0751,0.1504,2.4714,0.0385,0.9993,0.0007,0.9985,0.5745,7.5151,3.59
MovieLens100K,WMF,P,0.0684,0.0991,0.0668,0.1946,2.7076,0.0423,0.8483,0.1517,0.6965,0.4456,6.5141,25.22
MovieLens100K,WMF,CP,0.0745,0.0991,0.0732,0.1502,2.7241,0.043,0.8483,0.1517,0.6965,0.4233,5.6831,28.95
MovieLens100K,NeuMF,N,0.1337,0.1374,0.1335,0.0144,1.7917,0.0615,0.999,0.001,0.9981,0.5062,3.7857,0.0
MovieLens100K,NeuMF,C,0.1723,0.1362,0.1742,0.1224,1.8368,0.0808,0.9986,0.0014,0.9972,0.5598,3.2493,-10.59
MovieLens100K,NeuMF,P,0.124,0.1373,0.1233,0.0535,2.0053,0.0764,0.8537,0.1463,0.7073,0.3804,3.0669,24.86
MovieLens100K,NeuMF,CP,0.162,0.1348,0.1634,0.0961,2.0428,0.0941,0.8537,0.1463,0.7073,0.4017,2.4799,20.65
MovieLens100K,BiVAECF,N,0.1275,0.1843,0.1246,0.1934,1.6946,0.046,0.9993,0.0007,0.9985,0.5959,4.673,0.0
MovieLens100K,BiVAECF,C,0.1684,0.1616,0.1688,0.0216,1.7482,0.063,0.9997,0.0003,0.9994,0.5105,3.0313,14.34
MovieLens100K,BiVAECF,P,0.1193,0.1843,0.1158,0.228,1.8545,0.046,0.8806,0.1194,0.7612,0.4946,4.1469,17.01
MovieLens100K,BiVAECF,CP,0.1567,0.1616,0.1564,0.0163,1.8988,0.0615,0.8806,0.1194,0.7612,0.3887,2.4808,34.77
